,filename,daytime,nighttime,dense,sparse,bg dynamic,bg static,scene,color
scene:,,,,,,,,Count (All):,
Road ,,,,,,,,6,
,57fcbac6cd6f975685cee9c7.mov,,1,1,,1,,Road ,Black
,57fcbdd0cd6f975685cee9d0.mov,,1,1,,1,,Road ,Black
,4732.mov,1,,1,,,1,Road ,Black
,1100_Rain_MVI_1757.mov,1,,1,,1,,Road ,Green
,179_P1810803_HD.mov,,1,1,,1,,Road ,Black 
,2017_MTM1Ml9OaWdodF9tYXJrZXRfNEtfX183OA-2.mov,,1,1,,,1,Road ,Yellow
Blur,,,,,,,,2,
,138_NjAwMV9QMTA2MDUxNV9IRA.mov,,1,1,,,1,Blur,Black
,LLU028.mov,1,,1,,,1,Blur,Green
Road,,,,,,,,10,
,cars-driving-under-the-rain-at-night-2021-08-28-09-13-16-utc.mov,,1,1,,1,,Road,Black
,hk_downpour_day_HD.mov,,1,1,,1,,Road,Black
,rain-34-country-road-traffic-trees-fhd-h264.mov,1,,,1,1,,Road,Black
,407_RXhwMDkwM18wMDU.mov,/,/,/,/,/,/,Road,Green
,rain-12-highway-traffic-jam-fhd-h264.mov,/,/,/,/,/,/,Road,Red
,ivz_1_832.mov,/,/,/,/,/,/,Road,/
,ivz_1_833.mov,/,/,/,/,/,/,Road,/
,ivz_2_021.mov,/,/,/,/,/,/,Road,/
,ivz_2_232_e.mov,/,/,/,/,/,/,Road,/
,car-in-a-thunderstorm-2021-08-27-22-40-07-utc.mov,1,,1,,1,,Road,Green / Black
Human,,,,,,,,3,
,144_U2VzamEgNTMgTnV0cmljaWEgMjIgbHV0ZWdvICgxMDgp.mov,1,,1,,1,,Human,?
,children-catching-raindrops-2021-09-24-02-45-15-utc.mov,1,,1,,1,,Human,Green
,happy-children-walking-in-heavy-rain-2021-09-24-02-45-16-utc.mov,1,,1,,1,,Human,Colorful
Plant,,,,,,,,19,
,00159_Nature_BCN.mov,/,/,/,/,/,/,Plant,Green
,black-wooden-hand-made-windmill-rotates-under-heav-2021-08-27-09-36-19-utc.mov,1,,1,,1,,Plant,Green
,heavy-rain-2021-08-26-18-41-20-utc.mov,1,,1,,1,,Plant,Green
,heavy-rain-fall-stream-of-rainwater-from-the-a-hou-2022-01-08-03-19-59-utc.mov,1,,1,,,1,Plant,Green
,heavy-rain-of-the-tropical-forest-2021-08-26-18-58-36-utc.mov,1,,1,,1,,Plant,Green
,heavy-strong-rain-2021-08-26-18-41-23-utc.mov,1,,1,,1,,Plant,Green
,LeaveinRainSloMoH264-NE.mov,1,,,1,1,,Plant,Green
,LeaveinRainSloMoH264-NE3.mov,1,,,1,1,,Plant,Green
,LLU030.mov,1,,1,,1,,Plant,Green
,LLU031.mov,1,,1,,,1,Plant,Green
,rain and the trees 2.mov.mov,1,,1,,,1,Plant,Green
,tropical-rain-2021-09-19-11-44-56-utc.mov,1,,1,,1,,Plant,Green
,206_MjlfZHJvdmFfcmFpbg.mov,1,,,1,,1,Plant,Bare Wood
,206_MzBfcmFpbg.mov,1,,,1,,1,Plant,Bare Wood
,Rain In The Forest.mov,/,/,/,/,/,/,Plant,Green / Black
,heavy-rain-of-the-tropical-forest-2021-08-26-18-58-35-utc.mov,1,,1,,1,,Plant,Green / Red
,heavy-rain-of-the-tropical-forest-2021-08-26-18-58-38-utc.mov,1,,1,,1,,Plant,Green / Red
,rain-2021-10-29-17-09-07-utc.mov,1,,,1,,1,Plant,Grey / Green
,Raindrops and Sun Atmosphere.mov,1,,,1,1,,Plant,Green / Yellow
Road / Animal,,,,,,,,1,
,cows-crossing-mountain-road-in-the-rain-cows-graz-2021-08-29-09-06-27-utc.mov,1,,,1,1,,Road / Animal,Green
Flower,,,,,,,,1,
,226_0L_QsNGA0YQ3NA.mov,1,,1,,,1,Flower,Red
Building,,,,,,,,12,
,255_UmFpbl8wMl9IRA.mov,1,,1,,,1,Building,Grey
,318_UDExMzMwMDNfMQ.mov,/,/,/,/,/,/,Building,/
,P1380832-ii-commercial_HD.mov,1,,,1,,1,Building,Green / Black
,Country Fence With Barn And Rain.MOV,1,,,1,,1,Building,Brown
,heavy-rain-on-roof-2021-08-27-08-48-40-utc.mov,1,,,1,,1,Building,Brown
,the-recreation-center-was-flooded-with-heavy-rain-2022-01-07-19-10-48-utc.mov,1,,1,,,1,Building,Brown
,heavy-rain-on-roof-2021-08-27-21-22-51-utc.mov,1,,,1,,1,Building,Brown / Yellow
,HeavyRainRoof.mov,1,,,1,,1,Building,Red / Grey
,spring-rain-in-the-village-cloudy-weather-raindr-2021-08-26-19-56-28-utc.mov,1,,1,,,1,Building,Red / Grey
,RainOnRoof.mov,1,,,1,1,,Building,Red / Green
,01.mov,1,,1,,,1,Building,Dark Green / Red
,02.mov,1,,1,,,1,Building,Dark Green / Red
/,,,,,,,,4,
,Bridge Over the River in the Rain.MOV,/,/,/,/,/,/,/,/
,Heavy Rain on Tropical Road.MOV,/,/,/,/,/,/,/,/
,heavy-rain-on-the-trees-in-the-moorland-2021-08-29-21-35-50-utc.mov,/,/,/,/,/,/,/,/
,heavy-rain-shower-downpour-cloudburst-rainfall-com-2021-12-05-22-54-49-utc.mov,/,/,/,/,/,/,/,/
Animal,,,,,,,,2,
,raindrops-on-the-spider-web-cobwebs-in-small-drop-2021-08-29-22-37-48-utc.mov,/,/,/,/,/,/,Animal,Yellow
,rain-16-highway-traffic-robin-fhd-h264.mov,1,,1,,1,,Animal,Green / Orange
Road / Human,,,,,,,,2,
,wet-man-in-the-street-people-are-trying-to-escape-2021-10-11-20-44-01-utc.mov,1,,1,,1,,Road / Human,Colorful
,woman-walk-under-heavy-rain-with-blue-umbrella-fl-2021-10-11-20-44-02-utc.mov,1,,1,,1,,Road / Human,Colorful
Plant / Lamp,,,,,,,,1,
,Nepal 101.mov,1,,1,,1,,Plant / Lamp,Green / Blue
Lamp,,,,,,,,1,
,NightRain2.mov,,1,,1,1,,Lamp,Black / White
