,filename,daytime,nighttime,dense,sparse,bg dynamic,bg static,scene,color
scene:,,,,,,,,Count (All):,
Road,,,,,,,,7,
,01.mov,1,,1,,,1,Road,Grey
,02.mov,1,,1,,,1,Road,Grey
,03.mov,1,,1,,,1,Road,Grey
,04.mov,1,,1,,,1,Road,Grey
,IMG_1751.mov,1,,1,,1,,Road,Grey
,videoblocks-rain-falling-from-the-sky-overlooking-trees-and-a-city-street-during-the-day_bv-enn9rig__D.mp4,1,,1,,,1,Road,Green / Black
,videoblocks-summer-heavy-rain-in-park_bcyd2eq-w__D.mp4,1,,1,,,1,Road,Green / Black
Building,,,,,,,,13,
,japanese-roof-under-heavy-rain_bvdw151f__D.mp4,1,,1,,,1,Building,Red / Black
,rain-drop-scene-in-the-swimming-pool_vngbaaoqpx__D.mp4,1,,1,,,1,Building,Yellow / Blue
,rain-senso-ji-temple_ejmzu6_l__D.mp4,1,,1,,,1,Building,Red
,videoblocks-haetae-statue-guarding-gwanghwamun-in-seoul-korea-on-rainy-day_rplk7mlyw__D.mp4,1,,1,,,1,Building,White
,videoblocks-heavy-rain-falling-on-house-roof-view-of-house-corner-with-partial-window-and-no-gutters_s0cedxq4v__D.mov,1,,1,,,1,Building,Green / White
,videoblocks-heavy-rain-shower-in-backyard-at-unfinished-house-slow-motion_hfeo8afc7__D.mp4,1,,1,,,1,Building,Yellow / White
,videoblocks-heavy-rain-shower-in-backyard-at-unfinished-house-slow-motion_SMxyRNafRX.mov,1,,1,,,1,Building,Yellow / Green
,videoblocks-heavy-tropical-rainfall-on-roof_htmmnprjz__D.mp4,1,,1,,,1,Building,Brown
,videoblocks-old-roof-strong-rain_h0921egk__D.mp4,1,,1,,,1,Building,Brown / White
,videoblocks-rainy-day-weather-scene-water-rain-drops-on-fence-front-gate-of-house_rknzbb_yg__D.mp4,1,,1,,,1,Building,Colorful
,videoblocks-water-rain-drops-on-fence-rainy-day-weather-scene_rhpc5qihb__D.mp4,1,,1,,,1,Building,Colorful
,videoblocks-wet-roof-at-night_h7mc8eocl__D.mp4,1,,1,,,1,Building,Black / Blue
,water-drop-falling-on-straw-roof-raining-on-hut_4quff1wog__D.mp4,1,,1,,1,,Building,Black
Lamp,,,,,,,,2,
,lamp-at-snowing-at-night_rucysjiel__D.mp4,,1,,1,,1,Lamp,Black / White
,videoblocks-the-light-of-a-street-lamp-during-a-heavy-rain_smzx3kwktm__D.mov,1,,,1,,1,Lamp,Black / White
Road / Lamp,,,,,,,,1,
,night-storm-driving-SBV-301093114-preview.mp4,,1,,1,1,1,Road / Lamp,Black / Yellow
Plant,,,,,,,,1,
,videoblocks-rain-falls-around-a-broken-torn-tree-branch-during-a-heavy-storm-180fps_rfev0moufq__D.mp4,1,,1,,,1,Plant,Green / Black
